customerid,tenure,monthlycharges,totalcharges,churn
6599-CEBNN,34,74,2524,Yes
2519-ERQOJ,33,55,1803,No
5876-QMYLD,23,20,415,No
2277-AXSDC,32,20,624,No
9442-JTWDL,11,20,237,No
0979-PHULV,69,99,7007,Yes
3067-SVMTC,68,56,3848,No
5495-GPSRW,20,20,419,No
7606-BPHHN,72,20,1468,No
4742-DRORA,60,95,5812,No
0111-KLBQG,32,94,2861,No
4800-VHZKI,1,20,19,Yes
7989-CHGTL,1,20,19,Yes
0334-GDDSO,3,81,233,Yes
4163-NCJAK,46,24,1066,No
5233-AOZUF,29,75,2149,No
5973-EJGDP,51,87,4473,No
1996-DBMUS,48,71,3545,No
7916-VCCPB,16,73,1195,No
4686-GEFRM,70,99,6858,No
5249-QYHEX,40,25,1024,No
0578-SKVMF,22,83,1845,Yes
5564-NEMQO,1,75,75,Yes
2233-FAGXV,5,24,132,No
5605-IYGFG,7,70,515,No
7663-ZTEGJ,29,101,2830,No
3935-TBRZZ,44,26,1110,No
8111-BKVDS,10,41,449,No
2055-SIFSS,55,52,2838,No
2806-MLNTI,52,105,5376,No
8734-DKSTZ,10,86,858,No
4360-PNRQB,18,76,1395,No
6152-ONASV,68,58,3975,No
9063-ZGTUY,61,19,1182,Yes
7781-HVGMK,72,65,4784,No
2181-UAESM,2,53,119,No
2957-LOLHO,12,45,518,Yes
6048-NJXHX,41,20,899,No
2320-SLKMB,26,44,1183,No
4980-URKXC,36,21,720,No
4376-KFVRS,72,114,8468,No
5886-VLQVU,35,90,3161,No
3577-AMVUX,1,55,55,No
0771-WLCLA,16,113,1882,No
5628-RKIFK,49,102,5070,No
0206-TBWLC,54,115,6049,No
2937-FTHUR,18,65,1166,No
1910-FMXJM,36,80,2937,No
7752-XUSCI,60,106,6396,Yes
4110-PFEUZ,1,70,69,Yes
0732-OCQOC,52,25,1270,No
5168-MSWXT,8,95,759,No
1090-ESELR,72,106,7611,No
8592-PLTMQ,64,25,1642,No
5760-WRAHC,22,70,1545,No
8847-GEOOQ,60,60,3582,No
0256-LTHVJ,28,81,2227,Yes
4785-FCIFB,61,24,1417,No
8313-NDOIA,24,104,2494,No
5149-CUZUJ,28,93,2768,No
0942-KOWSM,30,81,2369,No
4237-CLSMM,2,20,38,No
1452-VOQCH,1,75,75,No
4719-UMSIY,6,20,100,No
6614-VBEGU,24,69,1614,No
0880-TKATG,4,101,385,Yes
3811-VBYBZ,7,100,673,Yes
1480-BKXGA,72,116,8404,No
2996-XAUVF,70,40,2799,No
9076-AXYIK,64,102,6538,No
5968-XQIVE,72,90,6588,No
8896-RAZCR,44,20,868,No
4640-UHDOS,13,56,734,Yes
4933-IKULF,17,21,330,No
3583-EKAPL,1,55,55,Yes
1304-BCCFO,9,70,564,No
4104-PVRPS,24,54,1315,No
9399-APLBT,1,75,74,Yes
2359-KMGLI,24,80,1861,Yes
3780-DDGSE,35,76,2747,No
4431-EDMIQ,7,76,554,No
0306-JAELE,5,96,453,Yes
6227-HWPWX,15,69,994,Yes
0486-LGCCH,11,20,225,No
0447-BEMNG,48,45,2145,Yes
4612-SSVHJ,20,81,1671,No
5168-MQQCA,72,108,8003,No
5949-XIKAE,8,84,680,Yes
7971-HLVXI,72,84,6130,No
9094-AZPHK,15,100,1415,No
3649-JPUGY,72,89,6201,No
4472-LVYGI,0,53,0,No
8372-JUXUI,1,74,74,Yes
3552-CTCYF,63,105,6597,No
6778-YSNIH,2,59,114,No
0388-EOPEX,2,74,139,Yes
5756-OZRIO,61,64,3902,No
6579-JPICP,1,20,20,No
8205-OTCHB,22,44,903,Yes
4134-BSXLX,28,61,1785,No
0505-SPOOW,70,20,1397,No
6235-VDHOM,5,28,131,Yes
7783-YKGDV,12,100,1238,Yes
4374-YMUSQ,34,116,3899,No
4513-CXYIX,71,81,5676,No
3957-HHLMR,70,65,4543,No
7803-XOCCZ,52,84,4326,No
5736-YEJAX,69,79,5502,No
5609-CEBID,20,94,1782,Yes
8981-FJGLA,11,78,851,No
7218-HKQFK,2,94,167,Yes
4636-QRJKY,6,80,502,Yes
1135-LMECX,1,20,19,No
4332-MUOEZ,20,94,1818,No
8535-SFUTN,61,106,6300,No
5956-VKDTT,5,74,334,Yes
8677-HDZEE,56,105,5916,No
2475-MROZF,30,95,2852,No
9412-GHEEC,40,105,4131,Yes
3482-ABPKK,28,54,1546,No
6705-LXORM,5,70,302,No
0257-ZESQC,27,75,1929,Yes
7531-GQHME,12,20,265,No
5174-ITUMV,67,105,6989,No
4109-CYRBD,29,52,1442,No
0913-XWSCN,55,86,4713,No
6825-UYPFK,23,76,1758,Yes
8397-MVTAZ,34,100,3480,Yes
0750-EBAIU,52,91,4738,No
8606-CIQUL,72,116,8399,No
3571-DPYUH,58,95,5430,No
7601-GNDYK,35,20,686,No
0356-OBMAC,56,100,5706,No
8067-NIOYM,24,21,490,No
1403-GYAFU,70,20,1360,No
4234-XTNEA,2,80,174,No
1297-VQDRP,68,107,7379,No
9282-IZGQK,1,85,85,Yes
5348-CAGXB,12,90,1021,No
0621-HJWXJ,63,82,5029,No
5844-QVTAT,33,58,1955,No
8905-IAZPF,69,96,6744,No
5394-MEITZ,60,81,4946,No
6859-QNXIQ,72,113,8248,No
2782-LFZVW,11,59,601,No
2866-IKBTM,1,20,19,No
1342-JPNKI,10,86,834,Yes
2817-NTQDO,13,46,597,Yes
7129-AZJDE,34,79,2647,No
6986-IJDHX,39,86,3266,Yes
2560-PPCHE,65,105,6744,No
4676-MQUEA,50,102,5265,No
8138-EALND,15,20,311,No
3580-HYCSP,72,110,7966,No
1352-HNSAW,72,116,8220,No
2075-PUEPR,55,19,1153,No
1982-FEBTD,23,26,514,No
5301-GAUUY,32,80,2596,Yes
5791-KAJFD,56,69,3808,No
2654-VBVPB,1,20,19,No
1154-HYWWO,38,71,2708,No
2501-XWWTZ,11,70,760,No
3716-UVSPD,1,49,49,No
6815-ABQFQ,56,107,6033,No
7343-EOBEU,3,24,89,No
3701-SFMUH,7,70,516,No
6103-LIANB,59,100,5861,No
7319-VENRZ,7,64,445,No
5846-NEQVZ,71,71,4973,No
6967-QIQRV,15,102,1667,No
5781-RFZRP,71,74,5357,No
0939-YAPAF,35,100,3527,Yes
0308-IVGOK,11,40,422,No
7293-LSCDV,60,19,1103,No
7025-WCBNE,47,60,2754,No
5756-JYOJT,11,65,697,No
4710-FDUIZ,56,100,5614,Yes
6030-REHUX,28,111,3204,No
9548-LIGTA,61,81,4747,No
5150-LJNSR,31,98,3082,No
8270-RKSAP,9,70,597,No
6522-YRBXD,35,95,3365,No
2640-LYMOV,2,20,38,No
1218-VKFPE,12,19,233,Yes
3627-FHKBK,1,75,75,Yes
2865-TCHJW,4,89,346,Yes
1423-BMPBQ,1,19,19,No
2393-DIVAI,3,20,61,No
5192-EBGOV,1,86,85,Yes
4568-KNYWR,52,63,3342,No
8752-IMQOS,5,20,85,No
0742-LAFQK,72,99,7422,No
0795-LAFGP,71,90,6668,No
0619-OLYUR,72,112,8071,No
5512-IDZEI,46,25,1174,No
0459-SPZHJ,63,84,5435,No
0215-BQKGS,30,84,2438,No
9244-ZVAPM,1,46,45,No
0719-SYFRB,12,62,713,Yes
8208-EUMTE,16,55,916,No
5172-MIGPM,4,66,237,No
1710-RCXUS,51,90,4614,No
0374-FIUCA,65,20,1414,No
5839-SUYVZ,16,75,1170,No
5173-ZXXXL,2,20,47,No
1096-ADRUX,66,74,4859,No
2001-MCUUW,46,109,4903,No
2731-GJRDG,32,110,3608,No
4723-BEGSG,72,87,6094,No
6516-NKQBO,38,81,3084,No
8672-OAUPW,51,48,2356,No
8207-DMRVL,72,115,8306,No
3419-SNJJD,65,105,6786,Yes
6543-CPZMK,9,30,248,Yes
4765-OXPPD,9,65,663,Yes
2804-ETQDK,66,21,1357,No
6689-VRRTK,44,110,4860,No
7138-GIRSH,50,70,3418,No
9396-ZSFLL,15,49,631,No
6464-KEXXH,8,25,186,No
7134-MJPDY,66,103,6976,No
5240-CAOYT,57,88,4884,No
4059-IIEBK,7,79,522,No
4881-JVQOD,10,35,362,No
0516-UXRMT,62,92,5755,No
4851-BQDNX,40,85,3355,No
5148-HKFIR,20,20,406,No
1009-IRMNA,7,20,137,Yes
3003-CMDUU,25,95,2395,No
5016-IBERQ,23,84,1968,No
6797-UCJHZ,66,105,6819,No
2469-DTSGX,72,112,7943,No
4554-YGZIH,49,90,4547,Yes
5099-BAILX,43,111,4687,Yes
9931-KGHOA,46,55,2473,No
1775-KWJKQ,72,90,6562,No
7665-VIGUD,10,20,176,No
9411-TPQQV,40,55,2236,No
7207-RMRDB,65,106,6985,Yes
7954-MLBUN,31,99,3109,No
2077-DDHJK,68,71,4911,No
4913-EHYUI,56,105,5794,Yes
0195-IESCP,10,85,855,Yes
9574-BOSMD,68,25,1620,No
4580-TMHJU,43,56,2499,Yes
0970-ETWGE,1,90,89,Yes
4908-XAXAY,49,90,4287,No
8404-VLQFB,15,25,394,No
1626-ERCMM,20,95,1899,Yes
0887-HJGAR,1,46,45,Yes
2391-IPLOP,50,70,3442,No
5644-PDMZC,2,90,161,Yes
3509-GWQGF,24,70,1732,No
9576-ANLXO,3,70,222,Yes
2024-BASKD,1,75,74,Yes
5845-BZZIB,35,20,655,No
1140-UKVZG,17,25,475,No
4160-AMJTL,8,20,164,Yes
5183-SNMJQ,10,95,865,No
8100-PNJMH,68,89,6132,No
7838-LAZFO,45,79,3597,No
4464-JCOLN,2,20,35,Yes
2085-JVGAD,37,20,697,No
5650-VDUDS,4,24,96,Yes
8095-WANWK,10,45,428,No
3030-ZKIWL,1,20,20,No
9565-FLVCG,65,70,4459,No
8755-OGKNA,57,20,1167,No
2800-VEQXM,3,75,238,No
7538-GWHML,2,70,145,Yes
5533-RJFTJ,49,30,1453,No
3859-CVCET,4,46,191,Yes
0214-JHPFW,70,58,4039,No
5642-MHDQT,53,20,1039,No
3088-FVYWK,53,26,1336,No
3276-HDUEG,1,75,75,Yes
9092-GDZKO,22,25,493,No
0823-HSCDJ,52,49,2550,Yes
3729-OWRVL,65,110,7246,No
2324-AALNO,48,25,1203,No
0822-GAVAP,2,35,62,Yes
5760-IFJOZ,3,108,313,No
2826-UWHIS,45,81,3775,No
1448-PWKYE,1,80,80,Yes
7501-IWUNG,61,74,4616,No
4957-TREIR,3,64,195,No
7251-LJBQN,40,104,4188,No
8040-MNRTF,1,71,71,No
1536-HBSWP,1,50,49,No
5313-FPXWG,51,25,1266,No
0067-DKWBL,2,49,91,Yes
0946-FKYTX,52,30,1623,No
5076-YVXCM,51,83,4149,No
8262-COGGB,1,20,20,No
6663-JOCQO,31,75,2344,No
9620-QJREV,47,21,1013,No
2276-YDAVZ,3,75,270,Yes
2682-KEVRP,22,20,417,No
2480-JZOSN,1,21,20,No
0078-XZMHT,72,85,6316,No
5896-NPFWW,3,50,168,Yes
9978-HYCIN,47,85,4018,No
8338-QIUNR,72,66,4811,No
1525-LNLOJ,66,63,4189,No
9450-TRJUU,35,83,2848,No
1766-GKNMI,29,85,2516,No
6942-LBFDP,2,21,33,No
1456-TWCGB,4,49,208,No
7133-VBDCG,25,80,2015,Yes
7596-ZYWBB,65,60,3739,No
8329-UTMVM,27,105,2964,No
3014-WJKSM,29,75,2263,No
3347-YJZZE,29,80,2211,No
1029-QFBEN,1,20,19,Yes
7929-DMBCV,20,81,1683,No
9661-JALZV,58,25,1519,No
5433-KYGHE,14,86,1164,No
4312-KFRXN,72,25,1710,No
5575-TPIZQ,46,89,4245,No
0114-IGABW,71,58,4145,No
9944-AEXBM,32,86,2664,No
1853-ARAAQ,26,50,1277,No
6952-OMNWB,68,80,5589,No
4697-LUPSU,2,20,34,No
8434-VGEQQ,61,21,1305,No
4952-YSOGZ,4,86,381,Yes
1589-AGTLK,3,45,141,Yes
5244-IRFIH,33,94,3105,Yes
6549-YMFAW,9,21,204,No
4950-HKQTE,22,26,605,No
6786-OBWQR,5,81,356,No
2684-EIWEO,30,92,2758,Yes
2753-JMMCV,65,74,4805,No
6439-GTPCA,45,87,3941,Yes
6621-YOBKI,5,20,92,No
1216-JWVUX,25,76,1901,No
7564-GHCVB,72,79,5730,No
1173-NOEYG,27,90,2423,No
7595-EHCDL,32,51,1653,No
6647-ZEDXT,30,110,3327,No
2521-NPUZR,70,101,7085,No
1307-TVUFB,42,79,3344,No
7503-MIOGA,72,90,6697,No
4381-MHQDC,47,65,2879,No
6923-JHPMP,2,80,137,No
5138-WVKYJ,10,99,1008,Yes
4018-PPNDW,61,24,1551,No
1635-FJFCC,5,44,202,No
2499-AJYUA,72,111,7882,No
6919-ELBGL,72,115,8196,No
3966-HRMZA,3,75,202,No
6425-JWTDV,48,19,855,No
8405-IGQFX,63,90,5817,No
8224-IVVPA,27,57,1652,No
9477-LGWQI,70,80,5600,No
1410-RSCMR,7,71,515,No
3115-CZMZD,0,20,0,No
0139-IVFJG,2,90,190,No
6683-VLCTZ,20,99,1842,Yes
5730-DBDSI,66,20,1253,No
0030-FNXPP,3,20,57,No
2189-WWOEW,15,86,1269,Yes
5684-FJVYR,72,90,6563,No
4013-GUXND,1,21,20,No
1894-IGFSG,22,89,1907,Yes
7379-POKDZ,3,70,208,Yes
1266-NZYUI,72,67,4758,No
7969-FFOWG,65,20,1292,No
4718-DHSMV,11,36,363,No
5175-WLYXL,22,79,1600,No
7817-OMJNA,14,20,275,No
